year,disease,region,value
2013,인플루엔자,종로구,22951
2013,인플루엔자,중구,21796
2013,인플루엔자,용산구,39763
2013,인플루엔자,성동구,51400
2013,인플루엔자,광진구,56739
2013,인플루엔자,동대문구,57341
2013,인플루엔자,중랑구,69431
2013,인플루엔자,성북구,73113
2013,인플루엔자,강북구,48340
2013,인플루엔자,도봉구,58227
2013,인플루엔자,노원구,89091
2013,인플루엔자,은평구,76341
2013,인플루엔자,서대문구,50521
2013,인플루엔자,마포구,63947
2013,인플루엔자,양천구,71324
2013,인플루엔자,강서구,74338
2013,인플루엔자,구로구,66294
2013,인플루엔자,금천구,35342
2013,인플루엔자,영등포구,65349
2013,인플루엔자,동작구,68258
2013,인플루엔자,관악구,71624
2013,인플루엔자,서초구,64006
2013,인플루엔자,강남구,71429
2013,인플루엔자,송파구,87467
2013,인플루엔자,강동구,66911
